scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
rAGwv14AAAAJ,IAN  F.  AKYILDIZ,M,"Georgia Institute of Technology, School of Electrical and Computer Engineering",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rAGwv14AAAAJ&citpid=14,418,291,129,82,127994,41871,839
LRyh6EgAAAAJ,"Orlando Frazão, PhD",M,"Sénior Researcher, INESC TEC",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LRyh6EgAAAAJ&citpid=3,183,128,55,33,9107,4426,689
98zB8rsAAAAJ,Bianca Will,F,"Lehrstuhl für Hochfrequenzsysteme, Ruhr-Universität Bochum",,5,2,7,5,195,110,46
DGa0OnUAAAAJ,Fausto Vieira,M,European Space Agency,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DGa0OnUAAAAJ&citpid=2,16,7,14,8,533,217,34
wNEmhRQAAAAJ,Milan Kabáč,M,"Research Associate, Imperial College London",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wNEmhRQAAAAJ&citpid=2,2,2,6,6,60,58,9
LOG805wAAAAJ,Satu Tamminen,F,"Research scientist, University of Oulu",,2,1,5,4,145,112,33
KN_TBaYAAAAJ,Georgios Peppas,M,"University of Patras, NTUA, RCPTM, Raycap",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KN_TBaYAAAAJ&citpid=1,5,5,7,7,258,251,32
BGp71yoAAAAJ,Yohan Barbarin,M,TU Eindhoven => ETH Zurich => Imec => CEA,,41,19,24,13,1819,553,173
93fE8CkAAAAJ,Andrey Lukyanenko,M,"Postdoc, Aalto University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=93fE8CkAAAAJ&citpid=3,17,13,12,11,649,437,45
fEoGNeYAAAAJ,Silviu-Iulian NICULESCU,M,"Research Director at CNRS, Laboratory of Signals and Systems (L2S, UMR CNRS 8506)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fEoGNeYAAAAJ&citpid=2,230,137,60,35,18521,6481,689
is6DsBMAAAAJ,António Ramos,M,University of Aveiro,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=is6DsBMAAAAJ&citpid=1,79,51,23,19,2616,1473,451
3EK_RaQAAAAJ,Yusheng Ji,F,National Institute of Informatics,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3EK_RaQAAAAJ&citpid=1,165,113,40,36,6499,4840,536
sXlzo1UAAAAJ,Piotr Milczarski,M,University of Lodz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sXlzo1UAAAAJ&citpid=1,7,4,9,6,178,121,59
wNWF8-AAAAAJ,Subhashish Bhattacharya,M,"Duke Energy Distinguished Professor, Dept. of ECE, FREEDM Systems Center, NC State University",,270,198,60,43,15995,8748,1427
MhNGC94AAAAJ,Ioannis Karydis,M,"Dept. of Informatics, Ionian University, Greece",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MhNGC94AAAAJ&citpid=4,19,7,12,9,537,297,82
lCYSXG0AAAAJ,Eva Maia,F,"Departamento Ciência de Computadores, Faculdade de Ciências, Universidade do Porto",,1,0,5,4,51,36,12
hac56VQAAAAJ,Ingo von Maurich,M,NXP Semiconductors,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hac56VQAAAAJ&citpid=2,14,12,13,12,567,442,24
HjZFWyIAAAAJ,Nikolaos Dimitriou,M,"Information Technologies Institute, Centre for Research and Technology Hellas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HjZFWyIAAAAJ&citpid=1,5,3,8,6,129,98,30
p4ifNhEAAAAJ,Anna Tasolamprou,F,Institute of Electronic Structure and laser (IESL) Foundation for Research & Technology - Hellas,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=p4ifNhEAAAAJ&citpid=4,19,16,16,13,644,553,60
WzEolNEAAAAJ,Nikolaos S. Voros,M,"Professor, University of Peloponnese, Electrical & Computer Engineering Department",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WzEolNEAAAAJ&citpid=14,21,12,15,12,758,427,160
PPXgATMAAAAJ,Angela Vincenti,F,maitre de conferences mécanique université paris 6 pierre et marie curie,,23,17,18,15,840,492,62
N2ftCz4AAAAJ,Jingang Shi,M,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N2ftCz4AAAAJ&citpid=3,11,11,11,11,293,274,29
M52vlJEAAAAJ,Barend van Liempd,M,R&D Manager at imec,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M52vlJEAAAAJ&citpid=1,22,22,19,17,1033,871,49
zXQZPnMAAAAJ,Noam Nisan,M,"Professor of Computer Science, Hebrew University of Jerusalem",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXQZPnMAAAAJ&citpid=2,151,111,73,45,30598,9539,273
EEkLtLIAAAAJ,Marco Ortu,M,"Researcher PhD, Department of Business and Economics, University of Cagliari",,19,19,16,16,1138,1072,57
Auy1vQIAAAAJ,Torben Hemke,M,Ruhr-Universität Bochum,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Auy1vQIAAAAJ&citpid=2,8,7,8,7,430,247,45
FiD_WZQAAAAJ,Paulo Roberto Gardel Kurka,M,Professor - School of Mechanical Engineering - UNICAMP Brazil,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FiD_WZQAAAAJ&citpid=2,7,5,8,6,255,167,91
nudwjz8AAAAJ,Yoshito Tobe,M,Aoyama Gakuin University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nudwjz8AAAAJ&citpid=2,45,14,22,11,1824,587,373
j8V2ECEAAAAJ,Valter Costa,M,"INEGI, FEUP",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j8V2ECEAAAAJ&citpid=1,1,1,4,4,46,46,20
cqz1WdAAAAAJ,Dr. Hayssam Dahrouj,M,King Abdullah University of Science and Technology (KAUST),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cqz1WdAAAAAJ&citpid=6,28,26,16,15,1786,1128,96
cIJUqGUAAAAJ,Nicolas Herbaut,M,"Univ Paris 1  Panthéon-Sorbonne, CRI lab",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cIJUqGUAAAAJ&citpid=4,6,6,7,7,219,219,18
ia9cRMwAAAAJ,Ahmed Bouajjani,M,"Professor Computer Science, University of Paris",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ia9cRMwAAAAJ&citpid=3,111,69,49,25,8047,1942,230
UsjagRcAAAAJ,Kapsouras Ioannis,M,PhD,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UsjagRcAAAAJ&citpid=3,3,2,4,4,120,96,10
w_Pjc6MAAAAJ,Pooya Farshim,M,University of York,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=w_Pjc6MAAAAJ&citpid=8,23,17,16,14,1170,597,41
4UUGzzgAAAAJ,Krzysztof Moraczewski,M,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,,21,17,14,11,697,504,81
j80v1FoAAAAJ,Magni Lalo,M,Professor of Automatic Control at University of Pavia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j80v1FoAAAAJ&citpid=3,125,96,50,41,10523,4846,244
hIjKAhoAAAAJ,Francis N. Nwebonyi,M,Lecturer of Computer Science,,0,0,3,3,17,16,8
